,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,46.08,3.0,2.375,8.0,396.0,4159.0,0.0,0.0,0.0,0.0,a,u,g,c,v,t,t,t,g,False,False,False,False,False,False,False
1,15.92,2.875,0.085,0.0,120.0,0.0,0.0,0.0,0.0,0.0,a,u,g,q,v,f,f,f,g,False,False,False,False,False,False,False
2,36.33,2.125,0.085,1.0,50.0,1187.0,0.0,0.0,0.0,0.0,b,y,p,w,v,t,t,f,g,False,False,False,False,False,False,False
3,22.17,0.585,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,b,y,p,ff,ff,f,f,f,g,False,False,False,False,False,False,False
4,57.83,7.04,14.0,6.0,360.0,1332.0,0.0,0.0,0.0,0.0,b,u,g,m,v,t,t,t,g,False,False,False,False,False,False,False
5,19.67,0.21,0.29,11.0,80.0,99.0,0.0,0.0,0.0,0.0,a,u,g,q,h,t,t,f,g,False,False,False,False,False,False,False
6,22.5,0.415,0.335,0.0,144.0,0.0,0.0,0.0,0.0,0.0,a,u,g,i,v,f,f,t,s,False,False,False,False,False,False,False
7,20.25,9.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,u,g,e,dd,t,f,f,g,False,False,False,False,False,False,False
8,25.17,3.5,0.625,7.0,0.0,7059.0,0.0,0.0,0.0,0.0,b,u,g,cc,v,t,t,f,g,False,False,False,False,False,False,False
9,40.25,21.5,20.0,11.0,0.0,1200.0,0.0,0.0,0.0,0.0,b,u,g,e,z,t,t,f,g,False,False,False,False,False,False,False
10,19.75,0.75,0.795,5.0,140.0,5.0,0.0,0.0,0.0,0.0,a,u,g,c,v,t,t,t,g,False,False,False,False,False,False,False
11,42.83,1.25,13.875,1.0,352.0,112.0,0.0,0.0,0.0,0.0,b,u,g,m,v,f,t,t,g,False,False,False,False,False,False,False
12,35.42,12.0,14.0,8.0,0.0,6590.0,0.0,0.0,0.0,0.0,a,u,g,q,h,t,t,f,g,False,False,False,False,False,False,False
13,29.5,1.085,1.0,0.0,280.0,13.0,0.0,0.0,0.0,0.0,a,y,p,x,v,f,f,f,g,False,False,False,False,False,False,False
14,21.33,10.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,u,g,c,v,t,f,t,g,False,False,False,False,False,False,False
15,18.58,4.841481927710842,2.3690120481927712,0.0,80.0,42.0,0.0,1.0,1.0,0.0,a,u,g,d,v,t,f,f,g,False,False,False,False,False,True,True
16,22.5,0.125,0.125,0.0,200.0,70.0,0.0,0.0,0.0,0.0,b,y,p,k,v,f,f,f,g,False,False,False,False,False,False,False
17,23.0,4.841481927710842,2.3690120481927712,0.0,320.0,0.0,0.0,1.0,1.0,0.0,b,u,g,m,v,t,f,t,s,False,False,False,False,False,True,True
18,20.83,0.5,1.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,a,y,p,e,dd,f,f,f,g,False,False,False,False,False,False,False
19,41.58,4.841481927710842,2.3690120481927712,0.0,160.0,0.0,0.0,1.0,1.0,0.0,b,u,g,k,v,t,f,f,g,False,False,False,False,False,True,True
20,38.92,1.75,0.5,0.0,300.0,2.0,0.0,0.0,0.0,0.0,b,u,g,k,v,f,f,t,g,False,False,False,False,False,False,False
21,21.17,0.25,0.25,0.0,280.0,204.0,0.0,0.0,0.0,0.0,b,y,p,c,h,f,f,f,g,False,False,False,False,False,False,False
22,34.5,4.04,8.5,7.0,195.0,0.0,0.0,0.0,0.0,0.0,b,y,p,i,bb,t,t,t,g,False,False,False,False,False,False,False
23,33.08,1.625,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,u,g,d,v,f,f,t,g,False,False,False,False,False,False,False
24,19.58,4.841481927710842,2.3690120481927712,3.0,350.0,769.0,0.0,1.0,1.0,0.0,b,u,g,ff,ff,t,f,f,g,False,False,False,False,False,True,True
25,29.25,13.0,0.5,0.0,228.0,0.0,0.0,0.0,0.0,0.0,b,u,g,d,h,f,f,f,g,False,False,False,False,False,False,False
26,46.0,4.0,0.0,0.0,100.0,960.0,0.0,0.0,0.0,0.0,a,u,g,j,j,t,f,f,g,False,False,False,False,False,False,False
27,19.17,0.0,0.0,0.0,500.0,1.0,0.0,0.0,0.0,0.0,b,y,p,m,bb,f,f,t,s,False,False,False,False,False,False,False
28,47.42,8.0,6.5,6.0,375.0,51100.0,0.0,0.0,0.0,0.0,a,u,g,e,bb,t,t,f,g,False,False,False,False,False,False,False
29,27.67,13.75,5.75,0.0,487.0,500.0,0.0,0.0,0.0,0.0,b,u,g,w,v,t,f,t,g,False,False,False,False,False,False,False
30,49.83,13.585,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,u,g,k,h,t,f,t,g,False,False,False,False,False,False,False
31,18.42,9.25,1.21,4.0,60.0,540.0,0.0,0.0,0.0,0.0,a,u,g,q,v,t,t,f,g,False,False,False,False,False,False,False
32,40.92,0.5,0.5,0.0,130.0,0.0,0.0,0.0,0.0,0.0,b,y,p,m,v,f,f,t,g,False,False,False,False,False,False,False
33,22.5,11.5,1.5,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,b,y,p,m,v,f,f,t,g,False,False,False,False,False,False,False
34,56.0,12.5,8.0,0.0,24.0,2028.0,0.0,0.0,0.0,0.0,b,u,g,k,h,t,f,t,g,False,False,False,False,False,False,False
35,31.8901906779661,0.5,0.835,0.0,320.0,0.0,1.0,0.0,0.0,0.0,b,u,g,c,bb,t,f,t,s,False,False,False,False,False,False,False
36,19.0,0.0,0.0,4.0,45.0,1.0,0.0,0.0,0.0,0.0,b,y,p,ff,ff,f,t,f,g,False,False,False,False,False,False,False
37,51.83,2.04,1.5,0.0,120.0,1.0,0.0,0.0,0.0,0.0,b,y,p,ff,ff,f,f,f,g,False,False,False,False,False,False,False
38,28.58,1.665,2.415,0.0,440.0,0.0,0.0,0.0,0.0,0.0,a,u,g,q,v,t,f,t,g,False,False,False,False,False,False,False
39,71.58,0.0,0.0,0.0,180.5735294117647,0.0,0.0,0.0,0.0,1.0,a,u,g,c,v,f,f,f,p,False,True,True,True,True,False,False
